car_name,rating,mileage_km_per_liter,engine_cc,price_min_lakh,price_max_lakh,company,price_avg_lakh,price_segment,is_electric
Toyota Camry,4.8,25.49,2487.0,48.69,48.69,Toyota,48.69,Premium & Executive,0
Hyundai Exter,4.6,19.6,1197.0,5.81,9.61,Hyundai,7.709999999999999,Lower Mid-Range,0
Range Rover,4.5,10.165,4395.0,240.0,383.0,Range Rover Velar,311.5,Luxury & High-End,0
Tata Harrier,4.6,18.35,1956.0,13.0,26.05,Tata,19.525,Upper Mid-Range,0
Skoda Kylaq,4.6,19.68,999.0,7.59,12.99,Skoda,10.29,Upper Mid-Range,0
Toyota Land Cruiser 300,4.6,11.0,3346.0,218.00000000000003,225.0,Toyota,221.5,Luxury & High-End,0
Volkswagen Virtus,4.5,20.8,1498.0,10.5,19.2,Volkswagen,14.85,Upper Mid-Range,0
Maruti Suzuki Victoris,4.6,28.65,1490.0,10.5,19.99,Maruti,15.245,Upper Mid-Range,0
Toyota Hilux,4.5,12.4,2755.0,31.99,36.69,Toyota,34.339999999999996,Premium & Executive,0
Tata Tiago EV,4.6,0.0,0.0,6.99,10.09,Tata,8.54,Lower Mid-Range,1
Toyota Innova Hycross,4.4,23.24,1987.0,18.7,31.84,Toyota,25.27,Premium & Executive,0
Tata Altroz,4.7,19.6,1497.0,6.0,10.9,Tata,8.45,Lower Mid-Range,0
Skoda Slavia,4.4,20.32,1498.0,10.0,18.29,Skoda,14.145,Upper Mid-Range,0
MG Windsor EV,4.6,0.0,0.0,14.7,19.0,MG,16.85,Upper Mid-Range,1
BMW M5,4.7,49.75,4395.0,212.0,212.0,BMW,212.0,Luxury & High-End,0
Tata Safari,4.5,12.4,1956.0,13.4,26.91,Tata,20.155,Premium & Executive,0
Nissan Gravite,4.6,19.6,999.0,5.73,9.38,Nissan,7.555000000000001,Lower Mid-Range,0
Maruti Suzuki S-Presso,4.3,25.3,998.0,3.5,5.27,Maruti,4.385,Budget,0
Tata Nexon EV,4.5,0.0,0.0,12.49,17.89,Tata,15.190000000000001,Upper Mid-Range,1
Honda City,4.7,27.26,1498.0,12.0,21.36,Honda,16.68,Upper Mid-Range,0
Maruti Suzuki Celerio,4.1,26.68,998.0,4.7,6.75,Maruti,5.725,Budget,0
Honda Amaze,4.5,19.46,1199.0,7.65,10.0,Honda,8.825,Lower Mid-Range,0
Tata Sierra EV,4.8,0.0,0.0,18.79,26.48,Tata,22.634999999999998,Premium & Executive,1
Renault Duster,4.7,19.41,1333.0,10.49,18.69,Renault,14.59,Upper Mid-Range,0
Toyota Glanza,4.4,22.94,1197.0,6.73,9.99,Toyota,8.36,Lower Mid-Range,0
BMW X7,4.4,14.31,2998.0,126.0,137.0,BMW,131.5,Luxury & High-End,0
Toyota Taisor,4.4,22.8,1197.0,7.43,12.94,Toyota,10.184999999999999,Upper Mid-Range,0
Skoda Kushaq,4.8,19.76,1498.0,10.69,18.99,Skoda,14.84,Upper Mid-Range,0
Nissan Magnite,4.5,19.9,999.0,5.68,10.99,Nissan,8.335,Lower Mid-Range,0
Toyota Vellfire,4.6,16.0,2487.0,120.0,130.0,Toyota,125.0,Luxury & High-End,0
Maruti Suzuki XL6,4.4,20.97,1462.0,11.62,14.57,Maruti,13.094999999999999,Upper Mid-Range,0
Renault KWID,4.3,22.3,999.0,4.53,5.85,Renault,5.1899999999999995,Budget,0
Mahindra Bolero Neo,4.5,17.29,1493.0,8.99,10.79,Mahindra,9.89,Lower Mid-Range,0
Renault Triber,4.4,20.0,999.0,5.81,8.69,Renault,7.25,Lower Mid-Range,0
MG Comet EV,4.3,0.0,0.0,7.8,10.07,MG,8.935,Lower Mid-Range,1
Honda Elevate,4.4,0.0,0.0,11.81,16.98,Honda,14.395,Upper Mid-Range,1
Nissan Tekton,4.7,19.4,1333.0,10.49,18.59,Nissan,14.54,Upper Mid-Range,0
Toyota Rumion,4.6,20.51,1462.0,9.79,14.21,Toyota,12.0,Upper Mid-Range,0
Tata Harrier EV,4.8,0.0,0.0,21.79,30.54,Tata,26.165,Premium & Executive,1
MG Hector Tomahawk PHEV,4.5,0.0,0.0,25.7,27.8,MG,26.75,Premium & Executive,1
Audi Q3,4.3,10.14,1984.0,43.67,52.31,Audi,47.99,Premium & Executive,0
Tata Curvv,4.7,12.0,1497.0,10.0,19.0,Tata,14.5,Upper Mid-Range,0
Force Urbania,4.6,11.0,2596.0,26.34,34.32,Force,30.33,Premium & Executive,0
Kia Syros,4.6,18.35,1493.0,8.42,15.82,Kia,12.120000000000001,Upper Mid-Range,0
BMW X1,4.5,16.35,1499.0,50.9,50.9,BMW,50.9,Luxury & High-End,0
Hyundai Alcazar,4.5,20.4,1493.0,14.51,21.25,Hyundai,17.88,Upper Mid-Range,0
Maruti Suzuki Jimny,4.5,16.94,1462.0,12.54,14.67,Maruti,13.605,Upper Mid-Range,0
MG Majestor,5.0,12.4,1996.0,42.49,44.99,MG,43.74,Premium & Executive,0
Toyota Fortuner Legender,4.5,10.52,2755.0,42.92,48.29,Toyota,45.605000000000004,Premium & Executive,0
MG Cyberster,4.7,10.165,2998.0,82.5,87.49,MG,84.995,Luxury & High-End,0
Volkswagen Taigun,4.4,19.98,1498.0,11.0,19.3,Volkswagen,15.15,Upper Mid-Range,0
Kia Carnival,4.6,14.85,2151.0,59.65,59.65,Kia,59.65,Luxury & High-End,0
Mercedes-Benz E-Class,4.6,15.0,2999.0,80.0,93.5,Mercedes-Benz,86.75,Luxury & High-End,0
Kia Syros EV,4.7,0.0,0.0,13.5,20.0,Kia,16.75,Upper Mid-Range,1
BMW X5,4.3,12.0,2998.0,9690.0,112.00000000000001,BMW,4901.0,Luxury & High-End,0
Maruti Suzuki Eeco,4.3,19.71,1197.0,5.28,6.46,Maruti,5.87,Budget,0
Jeep Compass,4.2,17.1,1956.0,17.99,30.95,Jeep,24.47,Premium & Executive,0
Range Rover Velar,4.5,15.8,1997.0,87.5,87.5,Range Rover Velar,87.5,Luxury & High-End,0
Audi Q7,4.7,11.0,2995.0,87.17,96.15,Audi,91.66,Luxury & High-End,0
Kia Carens Clavis,4.6,19.54,1497.0,11.39,21.79,Kia,16.59,Upper Mid-Range,0
Mercedes-Benz GLS,4.5,12.0,2999.0,132.0,143.0,Mercedes-Benz,137.5,Luxury & High-End,0
Renault Kiger,4.5,20.38,999.0,5.81,10.35,Renault,8.08,Lower Mid-Range,0
Hyundai Creta Electric,4.8,0.0,0.0,18.03,24.7,Hyundai,21.365000000000002,Premium & Executive,1
Tata Curvv EV,4.7,0.0,0.0,17.19,19.69,Tata,18.44,Upper Mid-Range,1
Audi A4,4.3,15.0,1984.0,46.88,55.83,Audi,51.355000000000004,Luxury & High-End,0
Lamborghini Urus,4.6,5.5,3999.0,418.0,457.0,Lamborghini,437.5,Luxury & High-End,0
Skoda Kodiaq,4.5,14.86,1984.0,36.99,46.99,Skoda,41.99,Premium & Executive,0
Maruti Suzuki Ciaz,4.5,20.65,1462.0,9.09,11.88,Maruti,10.485,Upper Mid-Range,0
Force Gurkha,4.3,9.5,2596.0,16.31,16.31,Force,16.31,Upper Mid-Range,0
BMW M2,4.5,10.19,2993.0,106.0,166.0,BMW,136.0,Luxury & High-End,0
VinFast VF7,4.4,12.4,1956.0,22.99,28.09,VinFast,25.54,Premium & Executive,0
Citroen C3 X,4.3,19.3,1199.0,4.99,10.21,Citroen,7.6000000000000005,Lower Mid-Range,0
Vayve Mobility Eva,4.6,0.0,0.0,3.99,5.99,Vayve,4.99,Budget,1
Maruti Suzuki Invicto,4.4,23.24,1987.0,24.97,28.7,Maruti,26.835,Premium & Executive,0
BMW Z4,4.4,8.5,2998.0,90.5,95.2,BMW,92.85,Luxury & High-End,0
BYD Atto 3,4.2,12.4,1956.0,24.99,34.49,BYD,29.740000000000002,Premium & Executive,0
Tata Tigor,4.3,19.6,1199.0,5.7,9.1,Tata,7.4,Lower Mid-Range,0
Jeep Wrangler,4.7,11.4,1995.0,66.2,70.8,Jeep,68.5,Luxury & High-End,0
MG Astor,4.3,15.43,1498.0,9.79,15.3,MG,12.545,Upper Mid-Range,0
Volvo XC90,4.8,12.35,1969.0,97.8,97.8,Volvo,97.8,Luxury & High-End,0
Lexus ES 350h,4.5,25.22,2487.0,66.1,71.8,Lexus,68.94999999999999,Luxury & High-End,0
Range Rover Sport,4.3,10.165,4395.0,143.0,235.0,Range Rover Velar,189.0,Luxury & High-End,0
BMW M4 Competition,4.6,9.7,2993.0,160.0,160.0,BMW,160.0,Luxury & High-End,0
BMW X3,4.3,17.86,1998.0,69.9,76.0,BMW,72.95,Luxury & High-End,0
Porsche Cayenne,4.5,10.8,2894.0,139.0,194.0,Porsche,166.5,Luxury & High-End,0
BMW 5 Series,4.5,15.7,1998.0,76.6,76.6,BMW,76.6,Luxury & High-End,0
Jeep Meridian,4.3,14.1,1956.0,23.33,38.26,Jeep,30.794999999999998,Premium & Executive,0
BYD Sealion 7,4.7,12.4,1956.0,41.9,55.9,BYD,48.9,Premium & Executive,0
Range Rover Evoque,4.4,0.0,0.0,64.86,64.86,Range Rover Velar,64.86,Luxury & High-End,1
VinFast VF6,4.5,18.35,1493.0,18.19,20.09,VinFast,19.14,Upper Mid-Range,0
MG ZS EV,4.2,0.0,0.0,17.99,20.75,MG,19.369999999999997,Upper Mid-Range,1
BMW iX1,4.6,10.165,2998.0,52.4,52.4,BMW,52.4,Luxury & High-End,0
BMW X1 LWB,5.0,15.5,1499.0,49.9,49.9,BMW,49.9,Premium & Executive,0
Mercedes-Benz C-Class,4.3,23.0,1999.0,59.9,65.6,Mercedes-Benz,62.75,Luxury & High-End,0
BYD Seal,4.4,12.4,1956.0,41.5,53.65,BYD,47.575,Premium & Executive,0
Mahindra Bolero Camper,4.7,16.0,2523.0,9.85,10.49,Mahindra,10.17,Upper Mid-Range,0
Audi A6,4.3,14.11,1984.0,63.74,69.89,Audi,66.815,Luxury & High-End,0
BMW 3 Series,4.3,13.02,2998.0,77.1,77.1,BMW,77.1,Luxury & High-End,0
Isuzu D-Max,4.1,12.0,2499.0,9.98,10.88,Isuzu,10.43,Upper Mid-Range,0
Kia EV6,4.7,0.0,0.0,65.97,65.97,Kia,65.97,Luxury & High-End,1
MG M9,4.7,10.165,2998.0,79.95,84.94,MG,82.445,Luxury & High-End,0
Hyundai Venue N Line,4.9,20.0,998.0,10.66,15.67,Hyundai,13.165,Upper Mid-Range,0
Land Rover Discovery,4.1,12.37,2997.0,125.0,137.0,Land Rover,131.0,Luxury & High-End,0
BMW 7 Series,4.3,12.1,2998.0,183.0,183.0,BMW,183.0,Luxury & High-End,0
VinFast Limo Green,4.5,12.4,1956.0,22.99,22.99,VinFast,22.99,Premium & Executive,0
MG Hector Plus,4.3,13.79,1451.0,17.49,19.69,MG,18.59,Upper Mid-Range,0
Mahindra Marazzo,4.6,17.3,1497.0,14.06,16.38,Mahindra,15.219999999999999,Upper Mid-Range,0
Honda ZR-V,5.0,22.8,1993.0,47.99,47.99,Honda,47.99,Premium & Executive,0
Mercedes-Benz GLC,4.5,19.4,1999.0,77.0,77.0,Mercedes-Benz,77.0,Luxury & High-End,0
Volvo XC60,4.8,10.165,1969.0,68.9,68.9,Volvo,68.9,Luxury & High-End,0
Bajaj Qute,4.2,24.645,216.0,3.61,3.61,Bajaj,3.61,Budget,0
BMW i7,4.4,10.165,2998.0,210.0,258.0,BMW,234.0,Luxury & High-End,0
Audi Q5,4.2,13.47,1984.0,63.75,69.86,Audi,66.805,Luxury & High-End,0
Volkswagen Tayron,4.7,12.4,1984.0,41.99,47.74,Volkswagen,44.865,Premium & Executive,0
Maserati GranTurismo,4.5,10.0,4691.0,225.0,250.99999999999997,Maserati,238.0,Luxury & High-End,0
Bentley Continental,4.6,12.9,5993.0,523.0,844.9999999999999,Bentley,684.0,Luxury & High-End,0
Tata Tigor EV,4.1,0.0,0.0,12.49,13.75,Tata,13.120000000000001,Upper Mid-Range,1
Hyundai Creta N Line,4.3,18.2,1482.0,19.03,20.1,Hyundai,19.565,Upper Mid-Range,0
Mahindra XUV400 EV,4.5,0.0,0.0,15.49,17.69,Mahindra,16.59,Upper Mid-Range,1
Mercedes-Benz GLE,4.3,16.0,2999.0,100.0,117.0,Mercedes-Benz,108.5,Luxury & High-End,0
Bentley Flying Spur,4.6,12.5,5950.0,525.0,760.0,Bentley,642.5,Luxury & High-End,0
Citroen Aircross X,4.4,18.5,1199.0,8.89,14.72,Citroen,11.805,Upper Mid-Range,0
Porsche Macan,4.6,6.1,1984.0,89.65,89.65,Porsche,89.65,Luxury & High-End,0
BMW M440i,4.5,10.165,2998.0,109.00000000000001,109.00000000000001,BMW,109.00000000000001,Luxury & High-End,0
Kia Carens Clavis EV,4.6,0.0,0.0,18.04,25.0,Kia,21.52,Premium & Executive,1
Citroen Basalt X,4.5,19.5,1199.0,8.55,14.11,Citroen,11.33,Upper Mid-Range,0
BMW X6,5.0,10.165,4395.0,178.0,178.0,BMW,178.0,Luxury & High-End,0
Mercedes-Benz S-Class,5.0,32.3,2999.0,220.00000000000003,238.0,Mercedes-Benz,229.0,Luxury & High-End,0
BMW XM,4.5,61.9,4395.0,254.99999999999997,254.99999999999997,BMW,254.99999999999997,Luxury & High-End,0
BMW i4,4.2,10.165,2998.0,72.5,77.5,BMW,75.0,Luxury & High-End,0
Mahindra Bolero Neo Plus,4.4,14.0,2184.0,11.39,12.49,Mahindra,11.940000000000001,Upper Mid-Range,0
Mercedes-Benz Maybach GLS,4.7,10.0,3982.0,275.0,409.99999999999994,Mercedes-Benz,342.5,Luxury & High-End,0
Mini Cooper Convertible,4.8,10.165,1998.0,59.0,62.9,Mini,60.95,Luxury & High-End,0
Rolls-Royce Cullinan,4.7,6.6,6750.0,1050.0,1225.0,Rolls-Royce,1137.5,Luxury & High-End,0
Audi Q8,4.4,10.0,2995.0,112.99999999999999,112.99999999999999,Audi,112.99999999999999,Luxury & High-End,0
BMW iX,4.2,10.165,2998.0,140.0,140.0,BMW,140.0,Luxury & High-End,0
BMW M8 Coupe Competition,4.4,8.7,4395.0,238.0,238.0,BMW,238.0,Luxury & High-End,0
Skoda Octavia RS,4.8,12.4,1984.0,49.99,49.99,Skoda,49.99,Premium & Executive,0
Maruti Suzuki Dzire Tour S,4.7,26.06,1197.0,6.24,7.1,Maruti,6.67,Lower Mid-Range,0
Citroen C5 Aircross,4.2,17.5,1997.0,37.32,37.32,Citroen,37.32,Premium & Executive,0
Jeep Grand Cherokee,4.5,7.2,1995.0,63.0,63.0,Jeep,63.0,Luxury & High-End,0
Mercedes-Benz GLA,4.4,18.9,1950.0,51.8,55.0,Mercedes-Benz,53.4,Luxury & High-End,0
Lexus ES Electric,5.0,0.0,0.0,91.2,91.2,Lexus,91.2,Luxury & High-End,1
Lexus LX,4.2,5.0,3346.0,281.0,293.0,Lexus,287.0,Luxury & High-End,0
Aston Martin Vantage,4.0,7.0,3998.0,315.0,335.0,Aston Martin,325.0,Luxury & High-End,0
BMW 2 Series Gran Coupe,4.7,16.35,1499.0,45.8,48.2,BMW,47.0,Premium & Executive,0
Ferrari 296 GTB,4.7,15.62,2992.0,540.0,540.0,Ferrari,540.0,Luxury & High-End,0
Tata Xpres,4.5,19.6,1199.0,5.59,6.49,Tata,6.04,Lower Mid-Range,0
Mini Cooper S,4.3,15.0,1998.0,44.45,58.9,Mini,51.675,Luxury & High-End,0
Maserati Levante,4.2,0.0,0.0,149.0,164.0,Maserati,156.5,Luxury & High-End,1
BMW i5,4.8,10.165,2998.0,120.0,120.0,BMW,120.0,Luxury & High-End,0
Tesla Model Y,4.6,10.165,2998.0,50.89,61.99,Tesla,56.44,Luxury & High-End,0
Mercedes-Benz EQS SUV,4.7,10.165,2998.0,133.0,148.0,Mercedes-Benz,140.5,Luxury & High-End,0
Mclaren GT,4.6,5.1,3994.0,450.0,450.0,Mclaren,450.0,Luxury & High-End,0
Jaguar F-Pace,4.3,10.2,1997.0,72.9,72.9,Jaguar,72.9,Luxury & High-End,0
Citroen e-C3 X,4.2,18.35,1493.0,11.99,13.26,Citroen,12.625,Upper Mid-Range,0
Lexus LM,4.7,10.165,2487.0,220.00000000000003,275.0,Lexus,247.5,Luxury & High-End,0
Mercedes-Benz AMG CLE 53,4.5,10.165,2999.0,132.0,132.0,Mercedes-Benz,132.0,Luxury & High-End,0
Isuzu S-CAB,4.2,16.56,2499.0,10.44,12.75,Isuzu,11.594999999999999,Upper Mid-Range,0
Porsche Panamera,4.6,20.0,3996.0,171.0,233.0,Porsche,202.0,Luxury & High-End,0
Rolls-Royce Phantom,4.6,9.8,6749.0,899.0,1048.0,Rolls-Royce,973.5,Luxury & High-End,0
Kia EV9,4.9,0.0,0.0,130.0,130.0,Kia,130.0,Luxury & High-End,1
Lamborghini Temerario,4.3,10.165,3995.0,600.0,600.0,Lamborghini,600.0,Luxury & High-End,0
Mercedes-Benz EQS,4.4,10.165,2998.0,130.0,148.0,Mercedes-Benz,139.0,Luxury & High-End,0
Volvo EX30,4.3,12.4,1956.0,41.0,41.0,Volvo,41.0,Premium & Executive,0
Tata Xpres T EV,4.8,0.0,0.0,13.04,13.04,Tata,13.04,Upper Mid-Range,1
Volvo EC40,4.8,10.165,2998.0,59.0,59.0,Volvo,59.0,Luxury & High-End,0
Lotus Emeya,5.0,10.165,2998.0,234.0,234.0,Lotus,234.0,Luxury & High-End,0
Mini Countryman,4.7,10.165,1998.0,66.15,66.15,Mini,66.15,Luxury & High-End,0
Mercedes-Benz AMG GT 4 Door Coupe,4.6,7.0,3982.0,327.0,327.0,Mercedes-Benz,327.0,Luxury & High-End,0
Mclaren 750S,4.3,6.1,3994.0,591.0,591.0,Mclaren,591.0,Luxury & High-End,0
Bentley Bentayga,4.5,8.6,3993.0,500.0,675.0,Bentley,587.5,Luxury & High-End,0
Isuzu MU-X,4.2,13.0,1898.0,34.53,37.71,Isuzu,36.120000000000005,Premium & Executive,0
VinFast VF MPV 7,4.5,12.4,1956.0,24.49,24.49,VinFast,24.49,Premium & Executive,0
Mercedes-Benz V-Class Extra LWB,4.4,10.165,1999.0,140.0,140.0,Mercedes-Benz,140.0,Luxury & High-End,0
PMV EaS E,4.5,24.645,998.0,4.79,4.79,PMV,4.79,Budget,0
Mercedes-Benz AMG E 53,4.5,10.165,2999.0,145.0,148.0,Mercedes-Benz,146.5,Luxury & High-End,0
Lexus NX,4.0,9.5,2487.0,67.59,74.5,Lexus,71.045,Luxury & High-End,0
BMW 3 Series Long Wheelbase,4.3,19.61,1998.0,60.6,64.2,BMW,62.400000000000006,Luxury & High-End,0
Mini Countryman C,4.7,12.4,1956.0,47.5,47.5,Mini,47.5,Premium & Executive,0
Volkswagen Golf GTI,4.6,10.165,1984.0,50.91,50.91,Volkswagen,50.91,Luxury & High-End,0
Mercedes-Benz AMG GLC 43,4.6,10.0,1991.0,99.85,99.85,Mercedes-Benz,99.85,Luxury & High-End,0
Lotus Eletre,4.8,10.165,2998.0,254.99999999999997,299.0,Lotus,277.0,Luxury & High-End,0
Isuzu Hi-Lander,4.1,12.4,1898.0,21.5,23.6,Isuzu,22.55,Premium & Executive,0
Lamborghini Revuelto,4.6,0.0,0.0,889.0,889.0,Lamborghini,889.0,Luxury & High-End,1
Ferrari SF90 Stradale,4.5,18.0,3990.0,750.0,750.0,Ferrari,750.0,Luxury & High-End,0
Ferrari F8 Tributo,4.4,5.8,3902.0,401.99999999999994,401.99999999999994,Ferrari,401.99999999999994,Luxury & High-End,0
Lotus Emira,4.8,10.165,1998.0,322.0,322.0,Lotus,322.0,Luxury & High-End,0
Mercedes-Benz Maybach SL 680,4.2,10.165,3982.0,430.0,430.0,Mercedes-Benz,430.0,Luxury & High-End,0
Lamborghini Huracan EVO,4.6,0.0,0.0,400.0,499.0,Lamborghini,449.5,Luxury & High-End,1
Hyundai Prime SD,4.5,19.6,1197.0,6.96,6.96,Hyundai,6.96,Lower Mid-Range,0
Audi RS Q8,4.7,9.0,3998.0,234.0,234.0,Audi,234.0,Luxury & High-End,0
Ferrari Amalfi,4.0,10.165,3902.0,559.0,559.0,Ferrari,559.0,Luxury & High-End,0
Mercedes-Benz G-Class,4.6,8.47,3982.0,254.99999999999997,430.0,Mercedes-Benz,342.5,Luxury & High-End,0
Mercedes-Benz G-Class Electric,4.7,0.0,0.0,310.0,310.0,Mercedes-Benz,310.0,Luxury & High-End,1
Aston Martin DBX,4.5,8.0,3982.0,415.00000000000006,415.00000000000006,Aston Martin,415.00000000000006,Luxury & High-End,0
BMW M4 CS,4.7,9.7,2993.0,179.0,179.0,BMW,179.0,Luxury & High-End,0
Nissan X-Trail,4.6,10.0,1498.0,48.2,48.2,Nissan,48.2,Premium & Executive,0
Aston Martin DB12,4.3,10.0,3982.0,409.99999999999994,434.99999999999994,Aston Martin,422.49999999999994,Luxury & High-End,0
Skoda Kodiaq RS,4.5,10.165,1984.0,66.99,66.99,Skoda,66.99,Luxury & High-End,0
Isuzu S-CAB Z,4.8,18.35,2499.0,15.9,15.9,Isuzu,15.9,Upper Mid-Range,0
Maruti Suzuki Ertiga Tour,4.5,18.04,1462.0,9.68,10.59,Maruti,10.135,Upper Mid-Range,0
Volkswagen Tiguan R-Line,4.5,12.58,1984.0,47.11,47.11,Volkswagen,47.11,Premium & Executive,0
Mercedes-Benz AMG C43,4.2,10.0,1991.0,94.05,94.05,Mercedes-Benz,94.05,Luxury & High-End,0
Isuzu V-Cross,4.2,12.4,1898.0,25.5,30.0,Isuzu,27.75,Premium & Executive,0
Audi Q3 Sportback,4.1,10.14,1984.0,54.25,54.25,Audi,54.25,Luxury & High-End,0
Mercedes-Benz Maybach EQS SUV,4.7,10.165,2998.0,240.0,265.0,Mercedes-Benz,252.5,Luxury & High-End,0
Maserati Grecale,5.0,9.2,3000.0,131.0,204.99999999999997,Maserati,168.0,Luxury & High-End,0
Mercedes-Benz AMG S 63,4.8,19.4,3982.0,327.0,380.0,Mercedes-Benz,353.5,Luxury & High-End,0
Pravaig DEFY,4.6,12.4,1956.0,39.5,39.5,Pravaig,39.5,Premium & Executive,0
Maserati GranCabrio,4.4,10.2,4691.0,246.0,269.0,Maserati,257.5,Luxury & High-End,0
Mercedes-Benz AMG A 45 S,4.4,10.0,1991.0,87.0,94.8,Mercedes-Benz,90.9,Luxury & High-End,0
Volvo EX40,4.2,12.4,1956.0,49.0,49.0,Volvo,49.0,Premium & Executive,0
BYD eMAX 7,4.7,12.4,1956.0,26.9,29.9,BYD,28.4,Premium & Executive,0
Tata Yodha Pickup,4.5,13.0,2956.0,6.95,7.5,Tata,7.225,Lower Mid-Range,0
Mahindra XEV 9S,4.8,0.0,0.0,20.65,30.9,Mahindra,25.775,Premium & Executive,1
Rolls-Royce Spectre,4.7,10.165,2998.0,750.0,750.0,Rolls-Royce,750.0,Luxury & High-End,0
Land Rover Discovery Sport,4.2,10.165,1999.0,63.37,63.37,Land Rover,63.37,Luxury & High-End,0
Porsche Cayenne Coupe,4.2,8.0,3996.0,144.0,195.0,Porsche,169.5,Luxury & High-End,0
Aston Martin Vanquish,4.4,10.165,5203.0,640.0,690.0,Aston Martin,665.0,Luxury & High-End,0
Lexus RX,4.2,10.165,2487.0,8999.0,110.00000000000001,Lexus,4554.5,Luxury & High-End,0
Mercedes-Benz Maybach S-Class,4.7,23.0,5980.0,288.0,347.0,Mercedes-Benz,317.5,Luxury & High-End,0
Ferrari Roma,4.6,6.0,3855.0,376.0,376.0,Ferrari,376.0,Luxury & High-End,0
